Ponto,actualDist,rttRaw,estDistRaw,absErrRaw,rttEst,estDistEst,absErrEst,varRtt,meanRtt,countRtt,meanRss,distEst,rttNovo,distNovo,errNovo,errOwn
1,7.919318152,116,17.38796256,9.468644412,91,13.64055684,5.721238687,4.410714286,116.875,8,-72,13.77999973,109,16.33868896,8.419370809,5.860681578
1,2.520495983,35,5.246368015,2.725872032,21,3.147820809,0.627324826,4,36,7,-75,3.25,27,4.047198183,1.5267022,0.729504017
1,2.52667766,90,13.49066061,10.96398295,69,10.3428398,7.816162141,3.80952381,90.85714286,7,-75.28571429,10.39999962,82,12.29149078,9.764813118,7.87332196
1,9.895958771,142,21.28526452,11.38930575,122,18.28733994,8.391381167,158.9166667,142.25,4,-85,18.39999962,119,17.83765125,7.94169248,8.504040849
1,7.919318152,115,17.23806634,9.318748183,91,13.64055684,5.721238687,2.80952381,115.8571429,7,-72.42857143,13.64999962,109,16.33868896,8.419370809,5.730681468
1,2.520495983,35,5.246368015,2.725872032,21,3.147820809,0.627324826,20,35,8,-75,3.25,27,4.047198183,1.5267022,0.729504017
1,2.52667766,84,12.59128324,10.06460558,64,9.593358656,7.066680996,3.642857143,84.75,8,-74.875,9.619999886,82,12.29149078,9.764813118,7.093322226
1,9.895958771,148,22.18464189,12.28868312,126,18.88692485,8.990966083,10.26785714,148.625,8,-85.25,19,119,17.83765125,7.94169248,9.104041229
1,7.919318152,117,17.53785879,9.618540641,92,13.79045307,5.871134916,1.928571429,117.75,8,-72.625,13.90999985,109,16.33868896,8.419370809,5.990681698
1,2.520495983,40,5.99584916,3.475353177,26,3.897301954,1.376805971,4.839285714,40.375,8,-74,3.900000095,27,4.047198183,1.5267022,1.379504112
1,2.52667766,86,12.89107569,10.36439803,65,9.743254885,7.216577225,4.214285714,86.75,8,-74.625,9.880000114,82,12.29149078,9.764813118,7.353322454
1,9.895958771,145,21.73495321,11.83899443,124,18.5871324,8.691173625,109.7,145.8,5,-85.6,18.70000076,119,17.83765125,7.94169248,8.804041989
1,7.919318152,114,17.08817011,9.168851954,90,13.49066061,5.571342458,1.553571429,114.875,8,-72,13.52000046,109,16.33868896,8.419370809,5.600682308
1,2.520495983,37,5.546160473,3.02566449,23,3.447613267,0.927117284,5.142857143,37.85714286,7,-75,3.50999999,27,4.047198183,1.5267022,0.989504007
1,2.52667766,90,13.49066061,10.96398295,69,10.3428398,7.816162141,3.428571429,91,8,-75.375,10.39999962,82,12.29149078,9.764813118,7.87332196
1,9.895958771,143,21.43516075,11.53920198,123,18.43723617,8.541277396,103.5,143.5,6,-84.66666667,18.5,119,17.83765125,7.94169248,8.604041229
1,7.919318152,116,17.38796256,9.468644412,91,13.64055684,5.721238687,4.80952381,117.1428571,7,-72.14285714,13.77999973,109,16.33868896,8.419370809,5.860681578
1,2.520495983,37,5.546160473,3.02566449,23,3.447613267,0.927117284,9.928571429,37.25,8,-74.5,3.50999999,27,4.047198183,1.5267022,0.989504007
1,2.52667766,86,12.89107569,10.36439803,65,9.743254885,7.216577225,3.839285714,86.875,8,-75,9.880000114,82,12.29149078,9.764813118,7.353322454
1,9.895958771,150,22.48443435,12.58847558,128,19.18671731,9.290758541,41.23809524,150.7142857,7,-85.14285714,19.20000076,119,17.83765125,7.94169248,9.304041989
1,7.919318152,116,17.38796256,9.468644412,91,13.64055684,5.721238687,1.553571429,117.125,8,-72.5,13.77999973,109,16.33868896,8.419370809,5.860681578
1,2.520495983,37,5.546160473,3.02566449,23,3.447613267,0.927117284,3.928571429,37.75,8,-74.25,3.50999999,27,4.047198183,1.5267022,0.989504007
1,2.52667766,87,13.04097192,10.51429426,66,9.893151114,7.366473454,2.857142857,88,8,-75,10.01000023,82,12.29149078,9.764813118,7.48332257
1,9.895958771,154,23.08401927,13.18806049,130,19.48650977,9.590550999,42.125,154.125,8,-85.125,19.60000038,119,17.83765125,7.94169248,9.704041609
1,7.919318152,117,17.53785879,9.618540641,92,13.79045307,5.871134916,1.928571429,117.75,8,-72.125,13.90999985,109,16.33868896,8.419370809,5.990681698
1,2.520495983,37,5.546160473,3.02566449,23,3.447613267,0.927117284,2.839285714,37.625,8,-74.5,3.50999999,27,4.047198183,1.5267022,0.989504007
1,2.52667766,91,13.64055684,11.11387918,70,10.49273603,7.96605837,3.696428571,91.375,8,-75.375,10.52999973,82,12.29149078,9.764813118,8.00332207
1,9.895958771,143,21.43516075,11.53920198,123,18.43723617,8.541277396,85.55357143,143.875,8,-85.75,18.5,119,17.83765125,7.94169248,8.604041229
1,7.919318152,118,17.68775502,9.76843687,93,13.9403493,6.021031145,2.571428571,118.2857143,7,-72.57142857,14.03999996,109,16.33868896,8.419370809,6.120681808
1,2.520495983,38,5.696056702,3.175560719,24,3.597509496,1.077013513,5.142857143,39,8,-74.125,3.640000105,27,4.047198183,1.5267022,1.119504122
1,2.52667766,89,13.34076438,10.81408672,68,10.19294357,7.666265912,1.2,89.2,5,-75,10.27000046,82,12.29149078,9.764813118,7.7433228
1,9.895958771,153,22.93412304,13.03816427,130,19.48650977,9.590550999,72.28571429,154,8,-85.625,19.5,119,17.83765125,7.94169248,9.604041229
1,7.919318152,120,17.98754748,10.06822933,95,14.24014176,6.320823603,1.714285714,120,8,-72,14.30000019,109,16.33868896,8.419370809,6.380682038
1,2.520495983,37,5.546160473,3.02566449,23,3.447613267,0.927117284,9.066666667,37.66666667,6,-74.66666667,3.50999999,27,4.047198183,1.5267022,0.989504007
1,2.52667766,85,12.74117947,10.2145018,65,9.743254885,7.216577225,8.785714286,85.75,8,-75,9.75,82,12.29149078,9.764813118,7.22332234
1,9.895958771,139,20.83557583,10.93961706,120,17.98754748,8.091588709,91.83928571,139.875,8,-85.125,18.10000038,119,17.83765125,7.94169248,8.204041609
1,7.919318152,120,17.98754748,10.06822933,95,14.24014176,6.320823603,0.571428571,120.2857143,7,-73,14.30000019,109,16.33868896,8.419370809,6.380682038
1,2.520495983,36,5.396264244,2.875768261,22,3.297717038,0.777221055,4,36.5,8,-74.75,3.380000114,27,4.047198183,1.5267022,0.859504131
1,2.52667766,88,13.19086815,10.66419049,67,10.04304734,7.516369683,3.642857143,88.75,8,-75,10.14000034,82,12.29149078,9.764813118,7.61332268
1,9.895958771,138,20.6856796,10.78972083,120,17.98754748,8.091588709,24,138,8,-85.375,18,119,17.83765125,7.94169248,8.104041229
1,7.919318152,118,17.68775502,9.76843687,93,13.9403493,6.021031145,1.928571429,118.25,8,-73,14.03999996,109,16.33868896,8.419370809,6.120681808
1,2.520495983,39,5.845952931,3.325456948,25,3.747405725,1.226909742,1.766666667,39.83333333,6,-74.33333333,3.769999981,27,4.047198183,1.5267022,1.249503998
1,2.52667766,86,12.89107569,10.36439803,65,9.743254885,7.216577225,1.553571429,87.125,8,-75,9.880000114,82,12.29149078,9.764813118,7.353322454
1,9.895958771,145,21.73495321,11.83899443,124,18.5871324,8.691173625,93.92857143,145.75,8,-84.875,18.70000076,119,17.83765125,7.94169248,8.804041989
1,7.919318152,120,17.98754748,10.06822933,95,14.24014176,6.320823603,1.357142857,120.25,8,-73,14.30000019,109,16.33868896,8.419370809,6.380682038
1,2.520495983,41,6.145745389,3.625249406,26,3.897301954,1.376805971,1.982142857,41.625,8,-74.125,4.03000021,27,4.047198183,1.5267022,1.509504227
1,2.52667766,86,12.89107569,10.36439803,65,9.743254885,7.216577225,3.142857143,87,8,-74.875,9.880000114,82,12.29149078,9.764813118,7.353322454
1,9.895958771,146,21.88484943,11.98889066,125,18.73702863,8.841069854,34.98214286,146.875,8,-84.875,18.79999924,119,17.83765125,7.94169248,8.904040469
1,7.919318152,119,17.83765125,9.918333099,94,14.09024553,6.170927374,3.696428571,119.375,8,-73,14.17000008,109,16.33868896,8.419370809,6.250681928
1,2.520495983,41,6.145745389,3.625249406,26,3.897301954,1.376805971,2.696428571,41.125,8,-74.375,4.03000021,27,4.047198183,1.5267022,1.509504227
1,2.52667766,88,13.19086815,10.66419049,67,10.04304734,7.516369683,5.357142857,88.25,8,-76.125,10.14000034,82,12.29149078,9.764813118,7.61332268
1,9.895958771,151,22.63433058,12.73837181,128,19.18671731,9.290758541,35.61904762,151.4285714,7,-84.57142857,19.29999924,119,17.83765125,7.94169248,9.404040469
1,7.919318152,114,17.08817011,9.168851954,90,13.49066061,5.571342458,6.214285714,114.75,8,-73,13.52000046,109,16.33868896,8.419370809,5.600682308
1,2.520495983,41,6.145745389,3.625249406,26,3.897301954,1.376805971,2.696428571,41.125,8,-74,4.03000021,27,4.047198183,1.5267022,1.509504227
1,2.52667766,86,12.89107569,10.36439803,65,9.743254885,7.216577225,2.214285714,86.75,8,-76,9.880000114,82,12.29149078,9.764813118,7.353322454
